taxonID	scientificName	parentNameUsageID	kingdom	phylum	class	order	family	genus	taxonRank	furtherInformationURL	taxonomicStatus	taxonRemarks	namePublishedIn	referenceID	acceptedNameUsageID	rights	rightsHolder	datasetName
urn:lsid:marinespecies.org:taxname:111	"Fissurellidae Fleming, 1822"	urn:lsid:marinespecies.org:taxname:156486	Animalia	Mollusca	Gastropoda		Fissurellidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=111	accepted			WoRMS:citation:111	urn:lsid:marinespecies.org:taxname:111			
urn:lsid:marinespecies.org:taxname:113	"Patellidae Rafinesque, 1815"	urn:lsid:marinespecies.org:taxname:156481	Animalia	Mollusca	Gastropoda		Patellidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=113	accepted			WoRMS:citation:113	urn:lsid:marinespecies.org:taxname:113			
urn:lsid:marinespecies.org:taxname:114	"Acmaeidae Forbes, 1850"	urn:lsid:marinespecies.org:taxname:391063	Animalia	Mollusca	Gastropoda		Acmaeidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=114	accepted			WoRMS:citation:114	urn:lsid:marinespecies.org:taxname:114			
urn:lsid:marinespecies.org:taxname:115	"Skeneinae Clark W., 1851"	urn:lsid:marinespecies.org:taxname:503	Animalia	Mollusca	Gastropoda		Turbinidae		subfamily	http://www.marinespecies.org/aphia.php?p=taxdetails&id=115	synonym			WoRMS:citation:115	urn:lsid:marinespecies.org:taxname:558146			
urn:lsid:marinespecies.org:taxname:117	"Mesogastropoda Thiele, 1925"	urn:lsid:marinespecies.org:taxname:102	Animalia	Mollusca	Gastropoda	Mesogastropoda			order	http://www.marinespecies.org/aphia.php?p=taxdetails&id=117	accepted		"Thiele, J. 1925. Prosobranchia. Pp. 40-94 in: KÌ_kenthal, W. & Krumbach, T. (eds.), Handbuch der Zoologie 5 (1, 1), Walter de Gruyter & Co., Berlin."	WoRMS:citation:117	urn:lsid:marinespecies.org:taxname:117			
urn:lsid:marinespecies.org:taxname:119	"Littorinidae Children, 1834"	urn:lsid:marinespecies.org:taxname:14766	Animalia	Mollusca	Gastropoda	Littorinimorpha	Littorinidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=119	accepted			WoRMS:citation:119	urn:lsid:marinespecies.org:taxname:119			
urn:lsid:marinespecies.org:taxname:120	"Hydrobiidae Stimpson, 1865"	urn:lsid:marinespecies.org:taxname:722756	Animalia	Mollusca	Gastropoda	Littorinimorpha	Hydrobiidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=120	accepted			WoRMS:citation:120	urn:lsid:marinespecies.org:taxname:120			
urn:lsid:marinespecies.org:taxname:121	"Assimineidae H. Adams & A. Adams, 1856"	urn:lsid:marinespecies.org:taxname:722756	Animalia	Mollusca	Gastropoda	Littorinimorpha	Assimineidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=121	accepted			WoRMS:citation:121	urn:lsid:marinespecies.org:taxname:121			
urn:lsid:marinespecies.org:taxname:122	"Iravadiidae Thiele, 1928"	urn:lsid:marinespecies.org:taxname:722756	Animalia	Mollusca	Gastropoda	Littorinimorpha	Iravadiidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=122	accepted			WoRMS:citation:122	urn:lsid:marinespecies.org:taxname:122			
urn:lsid:marinespecies.org:taxname:123	"Rissoidae Gray, 1847"	urn:lsid:marinespecies.org:taxname:14767	Animalia	Mollusca	Gastropoda	Littorinimorpha	Rissoidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=123	accepted			WoRMS:citation:123	urn:lsid:marinespecies.org:taxname:123			
urn:lsid:marinespecies.org:taxname:124	"Tornidae Sacco, 1896 (1884)"	urn:lsid:marinespecies.org:taxname:722756	Animalia	Mollusca	Gastropoda	Littorinimorpha	Tornidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=124	accepted			WoRMS:citation:124	urn:lsid:marinespecies.org:taxname:124			
urn:lsid:marinespecies.org:taxname:125	"Adeorbidae Monterosato, 1884"	urn:lsid:marinespecies.org:taxname:722756	Animalia	Mollusca	Gastropoda	Littorinimorpha	Adeorbidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=125	synonym	synonym		WoRMS:citation:125	urn:lsid:marinespecies.org:taxname:124			
urn:lsid:marinespecies.org:taxname:126	"Caecidae Gray, 1850"	urn:lsid:marinespecies.org:taxname:722756	Animalia	Mollusca	Gastropoda	Littorinimorpha	Caecidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=126	accepted			WoRMS:citation:126	urn:lsid:marinespecies.org:taxname:126			
urn:lsid:marinespecies.org:taxname:127	"Turritellidae LovÌ©n, 1847"	urn:lsid:marinespecies.org:taxname:14769	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Turritellidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=127	accepted			WoRMS:citation:127	urn:lsid:marinespecies.org:taxname:127			
urn:lsid:marinespecies.org:taxname:128	"Cerithiidae Fleming, 1822"	urn:lsid:marinespecies.org:taxname:14769	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Cerithiidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=128	accepted			WoRMS:citation:128	urn:lsid:marinespecies.org:taxname:128			
urn:lsid:marinespecies.org:taxname:130	"Cerithiopsidae H. Adams & A. Adams, 1853"	urn:lsid:marinespecies.org:taxname:14780	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Cerithiopsidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=130	accepted			WoRMS:citation:130	urn:lsid:marinespecies.org:taxname:130			
urn:lsid:marinespecies.org:taxname:131	"Triphoridae Gray, 1847"	urn:lsid:marinespecies.org:taxname:14780	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Triphoridae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=131	accepted			WoRMS:citation:131	urn:lsid:marinespecies.org:taxname:131			
urn:lsid:marinespecies.org:taxname:132	"Epitoniidae Berry, 1910 (1812)"	urn:lsid:marinespecies.org:taxname:14781	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Epitoniidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=132	accepted			WoRMS:citation:132	urn:lsid:marinespecies.org:taxname:132			
urn:lsid:marinespecies.org:taxname:134	"Aclididae G.O. Sars, 1878"	urn:lsid:marinespecies.org:taxname:14783	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Aclididae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=134	accepted			WoRMS:citation:134	urn:lsid:marinespecies.org:taxname:134			
urn:lsid:marinespecies.org:taxname:135	"Eulimidae Philippi, 1853"	urn:lsid:marinespecies.org:taxname:14783	Animalia	Mollusca	Gastropoda	[unassigned] Caenogastropoda	Eulimidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=135	accepted			WoRMS:citation:135	urn:lsid:marinespecies.org:taxname:135			
urn:lsid:marinespecies.org:taxname:139	"Capulidae Fleming, 1822"	urn:lsid:marinespecies.org:taxname:387335	Animalia	Mollusca	Gastropoda	Littorinimorpha	Capulidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=139	accepted			WoRMS:citation:139	urn:lsid:marinespecies.org:taxname:139			
urn:lsid:marinespecies.org:taxname:140	"Crepidulidae Fleming, 1822"	urn:lsid:marinespecies.org:taxname:387334	Animalia	Mollusca	Gastropoda	Littorinimorpha	Crepidulidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=140	synonym	junior synonym		WoRMS:citation:140	urn:lsid:marinespecies.org:taxname:141			
urn:lsid:marinespecies.org:taxname:141	"Calyptraeidae Lamarck, 1809"	urn:lsid:marinespecies.org:taxname:387334	Animalia	Mollusca	Gastropoda	Littorinimorpha	Calyptraeidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=141	accepted			WoRMS:citation:141	urn:lsid:marinespecies.org:taxname:141			
urn:lsid:marinespecies.org:taxname:142	"Lamellariidae d'Orbigny, 1841"	urn:lsid:marinespecies.org:taxname:387339	Animalia	Mollusca	Gastropoda	Littorinimorpha	Lamellariidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=142	synonym			WoRMS:citation:142	urn:lsid:marinespecies.org:taxname:143			
urn:lsid:marinespecies.org:taxname:143	"Velutinidae Gray, 1840"	urn:lsid:marinespecies.org:taxname:387339	Animalia	Mollusca	Gastropoda	Littorinimorpha	Velutinidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=143	accepted			WoRMS:citation:143	urn:lsid:marinespecies.org:taxname:143			
urn:lsid:marinespecies.org:taxname:144	"Triviidae Troschel, 1863"	urn:lsid:marinespecies.org:taxname:387339	Animalia	Mollusca	Gastropoda	Littorinimorpha	Triviidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=144	accepted			WoRMS:citation:144	urn:lsid:marinespecies.org:taxname:144			
urn:lsid:marinespecies.org:taxname:145	"Naticidae Guilding, 1834"	urn:lsid:marinespecies.org:taxname:14776	Animalia	Mollusca	Gastropoda	Littorinimorpha	Naticidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=145	accepted			WoRMS:citation:145	urn:lsid:marinespecies.org:taxname:145			
urn:lsid:marinespecies.org:taxname:146	"Neogastropoda Wenz, 1938"	urn:lsid:marinespecies.org:taxname:224570	Animalia	Mollusca	Gastropoda	Neogastropoda			order	http://www.marinespecies.org/aphia.php?p=taxdetails&id=146	accepted			WoRMS:citation:146	urn:lsid:marinespecies.org:taxname:146			
urn:lsid:marinespecies.org:taxname:148	"Muricidae Rafinesque, 1815"	urn:lsid:marinespecies.org:taxname:15138	Animalia	Mollusca	Gastropoda	Neogastropoda	Muricidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=148	accepted			WoRMS:citation:148	urn:lsid:marinespecies.org:taxname:148			
urn:lsid:marinespecies.org:taxname:149	"Buccinidae Rafinesque, 1815"	urn:lsid:marinespecies.org:taxname:382214	Animalia	Mollusca	Gastropoda	Neogastropoda	Buccinidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=149	accepted			WoRMS:citation:149	urn:lsid:marinespecies.org:taxname:149			
urn:lsid:marinespecies.org:taxname:151	"Nassariidae Iredale, 1916 (1835)"	urn:lsid:marinespecies.org:taxname:382214	Animalia	Mollusca	Gastropoda	Neogastropoda	Nassariidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=151	accepted			WoRMS:citation:151	urn:lsid:marinespecies.org:taxname:151			
urn:lsid:marinespecies.org:taxname:152	"Turridae H. Adams & A. Adams, 1853 (1838)"	urn:lsid:marinespecies.org:taxname:15140	Animalia	Mollusca	Gastropoda	Neogastropoda	Turridae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=152	accepted			WoRMS:citation:152	urn:lsid:marinespecies.org:taxname:152			
urn:lsid:marinespecies.org:taxname:154	"Cephalaspidea P. Fischer, 1883"	urn:lsid:marinespecies.org:taxname:382226	Animalia	Mollusca	Gastropoda	Cephalaspidea			order	http://www.marinespecies.org/aphia.php?p=taxdetails&id=154	accepted			WoRMS:citation:154	urn:lsid:marinespecies.org:taxname:154			
urn:lsid:marinespecies.org:taxname:155	"Acteonidae d'Orbigny, 1843"	urn:lsid:marinespecies.org:taxname:382223	Animalia	Mollusca	Gastropoda		Acteonidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=155	accepted			WoRMS:citation:155	urn:lsid:marinespecies.org:taxname:155			
urn:lsid:marinespecies.org:taxname:156	"Retusidae Thiele, 1925"	urn:lsid:marinespecies.org:taxname:196322	Animalia	Mollusca	Gastropoda	Cephalaspidea	Retusidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=156	accepted			WoRMS:citation:156	urn:lsid:marinespecies.org:taxname:156			
urn:lsid:marinespecies.org:taxname:158	"Scaphandridae G.O. Sars, 1878"	urn:lsid:marinespecies.org:taxname:196322	Animalia	Mollusca	Gastropoda	Cephalaspidea	Scaphandridae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=158	accepted			WoRMS:citation:158	urn:lsid:marinespecies.org:taxname:158			
urn:lsid:marinespecies.org:taxname:159	"Cylichnidae H. Adams & A. Adams, 1854"	urn:lsid:marinespecies.org:taxname:196322	Animalia	Mollusca	Gastropoda	Cephalaspidea	Cylichnidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=159	accepted			WoRMS:citation:159	urn:lsid:marinespecies.org:taxname:159			
urn:lsid:marinespecies.org:taxname:161	"Philinidae Gray, 1850 (1815)"	urn:lsid:marinespecies.org:taxname:196322	Animalia	Mollusca	Gastropoda	Cephalaspidea	Philinidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=161	accepted			WoRMS:citation:161	urn:lsid:marinespecies.org:taxname:161			
urn:lsid:marinespecies.org:taxname:162	"Pyramidellidae Gray, 1840"	urn:lsid:marinespecies.org:taxname:14714	Animalia	Mollusca	Gastropoda		Pyramidellidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=162	accepted			WoRMS:citation:162	urn:lsid:marinespecies.org:taxname:162			
urn:lsid:marinespecies.org:taxname:164	"Gymnosomata Blainville, 1824"	urn:lsid:marinespecies.org:taxname:382226	Animalia	Mollusca	Gastropoda	Gymnosomata			order	http://www.marinespecies.org/aphia.php?p=taxdetails&id=164	accepted			WoRMS:citation:164	urn:lsid:marinespecies.org:taxname:164			
urn:lsid:marinespecies.org:taxname:165	"Pneumodermatidae Latreille, 1825"	urn:lsid:marinespecies.org:taxname:411912	Animalia	Mollusca	Gastropoda	Gymnosomata	Pneumodermatidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=165	accepted			WoRMS:citation:165	urn:lsid:marinespecies.org:taxname:165			
urn:lsid:marinespecies.org:taxname:166	"Clionidae Rafinesque, 1815"	urn:lsid:marinespecies.org:taxname:411912	Animalia	Mollusca	Gastropoda	Gymnosomata	Clionidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=166	accepted			WoRMS:citation:166	urn:lsid:marinespecies.org:taxname:166			
urn:lsid:marinespecies.org:taxname:167	"Sacoglossa Ihering, 1876"	urn:lsid:marinespecies.org:taxname:382226	Animalia	Mollusca	Gastropoda	Sacoglossa			order	http://www.marinespecies.org/aphia.php?p=taxdetails&id=167	accepted			WoRMS:citation:167	urn:lsid:marinespecies.org:taxname:167			
urn:lsid:marinespecies.org:taxname:169	"Stiligeridae Iredale & O'Donoghue, 1923"	urn:lsid:marinespecies.org:taxname:411961	Animalia	Mollusca	Gastropoda	Sacoglossa	Stiligeridae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=169	synonym			WoRMS:citation:169	urn:lsid:marinespecies.org:taxname:23063			
urn:lsid:marinespecies.org:taxname:171	"Anaspidea Fischer, 1883"	urn:lsid:marinespecies.org:taxname:382226	Animalia	Mollusca	Gastropoda	Anaspidea			order	http://www.marinespecies.org/aphia.php?p=taxdetails&id=171	accepted			WoRMS:citation:171	urn:lsid:marinespecies.org:taxname:171			
urn:lsid:marinespecies.org:taxname:172	"Aplysiidae Lamarck, 1809"	urn:lsid:marinespecies.org:taxname:225490	Animalia	Mollusca	Gastropoda	Anaspidea	Aplysiidae		family	http://www.marinespecies.org/aphia.php?p=taxdetails&id=172	accepted			WoRMS:citation:172	urn:lsid:marinespecies.org:taxname:172			
