identifier	publicationType	full_reference	primaryTitle	title	pages	pageStart	pageEnd	volume	edition	publisher	authorList	editorList	created	language	uri	doi	schema#localityName
WoRMS:citation:100064	Citation	WoRMS (2014). Lasiosphaeriaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100064															
WoRMS:citation:100065	Citation	"Kirk, P. (2014). Nitschkiaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100065"															
WoRMS:citation:100066	Citation	WoRMS (2014). Sordariaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100066															
WoRMS:citation:100067	Citation	WoRMS (2014). Sordariales incertae sedis. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100067															
WoRMS:citation:100068	Citation	WoRMS (2014). Amphisphaeriaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100068															
WoRMS:citation:100069	Citation	WoRMS (2014). Xylariaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100069															
WoRMS:citation:100070	Citation	WoRMS (2014). Agaricaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100070															
WoRMS:citation:100071	Citation	"Kirk, P. (2014). Tricholomataceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100071"															
WoRMS:citation:100072	Citation	WoRMS (2014). Cortinariaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100072															
WoRMS:citation:100073	Citation	WoRMS (2014). Niaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100073															
WoRMS:citation:100074	Citation	WoRMS (2014). Amylocorticaceae. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php/aphia.php?p=taxdetails&id=100074															
WoRMS:citation:100075	Citation	WoRMS (2014). Tulostomataceae. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100075															
WoRMS:citation:100076	Citation	WoRMS (2014). Ustigomycetes. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100076															
WoRMS:citation:100078	Citation	WoRMS (2014). Mortierellaceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100078															
WoRMS:citation:100079	Citation	WoRMS (2014). Mucoraceae. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100079															
WoRMS:citation:100081	Citation	"Kirk, P. (2014). <i>Amylocarpus</i> Curr., 1859. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100081"															
WoRMS:citation:100082	Citation	"Kirk, P. (2014). <i>Biflua</i> JÌürg. Koch & E.B.G. Jones, 1989. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100082"															
WoRMS:citation:100083	Citation	WoRMS (2014). <i>Botrytis</i>. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100083															
WoRMS:citation:100084	Citation	"Kirk, P. (2014). Chaetomastia. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100084"															
WoRMS:citation:100085	Citation	"Kirk, P. (2014). <i>Crinigera</i> I. Schmidt, 1969. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100085"															
WoRMS:citation:100086	Citation	"Kirk, P. (2014). <i>Cryptovalsa</i> Ces. & De Not. ex Fuckel, 1870. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100086"															
WoRMS:citation:100087	Citation	WoRMS (2014). <i>Dasyscyphus</i>. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100087															
WoRMS:citation:100088	Citation	"Kirk, P. (2014). <i>Dryosphaera</i> JÌürg. Koch & E.B.G. Jones, 1989. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100088"															
WoRMS:citation:100089	Citation	"Kirk, P. (2014). <i>Eiona</i> Kohlm., 1968. In: Index Fungorum Partnership (2014) Index Fungorum. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100089"															
