identifier	publicationType	full_reference	primaryTitle	title	pages	pageStart	pageEnd	volume	edition	publisher	authorList	editorList	created	language	uri	doi	schema#localityName
WoRMS:citation:100964	Citation	"Fautin, D. (2014). <i>Phelliactis michaelsarsi</i> (Carlgren, 1934). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100964"															
WoRMS:citation:100965	Citation	"WoRMS (2014). <i>Phelliactis pulchra</i> (Stephenson, 1918). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100965"															
WoRMS:citation:100966	Citation	"WoRMS (2014). <i>Phelliactis robusta</i> Carlgren, 1928. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100966"															
WoRMS:citation:100967	Citation	"Fautin, D. (2014). <i>Phelliactis spinosa</i> (Carlgren, 1928). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100967"															
WoRMS:citation:100968	Citation	"WoRMS (2014). <i>Stephanauge acanellae</i> (Verrill, 1883). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100968"															
WoRMS:citation:100969	Citation	"WoRMS (2014). <i>Iosactis vagabunda</i> Riemann-ZÌ_rneck, 1997. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100969"															
WoRMS:citation:100970	Citation	"WoRMS (2014). <i>Euphellia cinclidifera</i> Pax, 1908. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100970"															
WoRMS:citation:100971	Citation	"WoRMS (2014). <i>Telmatactis cricoides</i> (Duchassaing, 1850). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100971"															
WoRMS:citation:100972	Citation	"Fautin, D. (2014). <i>Telmatactis forskalii</i> (Hemprich & Ehrenberg in Ehrenberg, 1834). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100972"															
WoRMS:citation:100973	Citation	"WoRMS (2014). <i>Telmatactis limicola</i>. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100973"															
WoRMS:citation:100974	Citation	"WoRMS (2014). <i>Telmatactis solidago</i> (Duchassaing & Michelotti, 1860). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100974"															
WoRMS:citation:100975	Citation	"Fautin, D. (2014). <i>Kadosactis abyssicola</i> (Koren & Danielssen, 1877). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100975"															
WoRMS:citation:100976	Citation	"Fautin, D. (2014). <i>Kadosactis commensalis</i> (Gravier, 1918). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100976"															
WoRMS:citation:100977	Citation	"WoRMS (2014). <i>Kadosactis rosea</i> Danielssen, 1890. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100977"															
WoRMS:citation:100978	Citation	"WoRMS (2014). <i>Kadosactis spitsbergensis</i> (Danielssen, 1890). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100978"															
WoRMS:citation:100979	Citation	"WoRMS (2014). <i>Kadosactis sulcata</i> Carlgren, 1934. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100979"															
WoRMS:citation:100980	Citation	"WoRMS (2014). <i>Limnactinia laevis</i> Carlgren, 1921. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100980"															
WoRMS:citation:100981	Citation	"Fautin, D. (2014). <i>Liponema multicornis</i> (Verrill, 1880). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100981"															
WoRMS:citation:100982	Citation	"Fautin, D. (2014). <i>Metridium senile</i> (Linnaeus, 1761). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100982"															
WoRMS:citation:100983	Citation	"Fautin, D. (2014). Octineon lindahli. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100983"															
WoRMS:citation:100984	Citation	"Fautin, D. (2014). Octineon suecicum. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100984"															
WoRMS:citation:100985	Citation	"Fautin, D. (2014). <i>Phymanthus pulcher</i> (AndrÌ¬s, 1883). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100985"															
WoRMS:citation:100986	Citation	"WoRMS (2014). <i>Actinothoe sphyrodeta</i> (Gosse, 1858). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100986"															
WoRMS:citation:100987	Citation	"WoRMS (2014). <i>Cereus pedunculatus</i> (Pennant, 1777). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100987"															
WoRMS:citation:100988	Citation	"Fautin, D. (2014). <i>Phellia elongata</i> (Delle Chiaje, 1825). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100988"															
WoRMS:citation:100989	Citation	"WoRMS (2014). <i>Phellia gausapata</i> Gosse, 1858. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100989"															
WoRMS:citation:100990	Citation	"Fautin, D. (2014). <i>Phellia vestita</i> (Johnson, 1861). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100990"															
WoRMS:citation:100991	Citation	"WoRMS (2014). <i>Sagartia elegans</i> (Dalyell, 1848). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100991"															
WoRMS:citation:100992	Citation	"Fautin, D. (2014). <i>Sagartia luciae</i> Verrill, 1898. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100992"															
WoRMS:citation:100993	Citation	"Fautin, D. (2014). <i>Sagartia ornata</i> (Holdsworth, 1855). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100993"															
WoRMS:citation:100994	Citation	"WoRMS (2014). <i>Sagartia troglodytes</i> (Price in Johnston, 1847). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100994"															
WoRMS:citation:100995	Citation	"WoRMS (2014). <i>Sagartiogeton abyssorum</i> Carlgren, 1942. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100995"															
WoRMS:citation:100996	Citation	"WoRMS (2014). <i>Sagartiogeton entellae</i> Schmidt, 1972. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100996"															
WoRMS:citation:100997	Citation	"WoRMS (2014). <i>Sagartiogeton flexibilis</i> (Danielssen, 1890). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100997"															
WoRMS:citation:100998	Citation	"WoRMS (2014). <i>Sagartiogeton ingolfi</i> Carlgren, 1928. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100998"															
WoRMS:citation:100999	Citation	"WoRMS (2014). <i>Sagartiogeton laceratus</i> (Dalyell, 1848). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=100999"															
WoRMS:citation:101	Citation	"Gofas, S. (2014). Gastropoda. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101"															
WoRMS:citation:101000	Citation	"WoRMS (2014). Sagartiogeton robustus. In: Fautin, Daphne G. (2011) Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101000"															
WoRMS:citation:101001	Citation	"WoRMS (2014). <i>Sagartiogeton tubicolus</i> (Koren & Danielssen, 1877). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101001"															
WoRMS:citation:101002	Citation	"Fautin, D. (2014). Sagartiogeton undatus. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101002"															
WoRMS:citation:101003	Citation	"WoRMS (2014). <i>Sagartiogeton verrilli</i> Carlgren, 1942. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101003"															
WoRMS:citation:101004	Citation	"WoRMS (2014). <i>Sagartiogeton viduatus</i> (MÌ_ller, 1776). In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101004"															
WoRMS:citation:101005	Citation	"Molodtsova, T. (2014). <i>Arachnactis albida</i> Sars, 1846. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101005"															
WoRMS:citation:101006	Citation	"Molodtsova, T. (2014). <i>Arachnanthus nocturnus</i> den Hartog, 1977. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101006"															
WoRMS:citation:101007	Citation	"Molodtsova, T. (2014). <i>Arachnanthus sarsi</i> Carlgren, 1912. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101007"															
WoRMS:citation:101008	Citation	"WoRMS (2014). <i>Isarachnanthus cruzi</i> Brito, 1986. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101008"															
WoRMS:citation:101009	Citation	"Molodtsova, T. (2014). <i>Botracnidifer norvegicus</i> Carlgren, 1912. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101009"															
WoRMS:citation:101010	Citation	"Molodtsova, T.; Hoeksema, B. (2014). <i>Cerianthus lloydi</i> Gosse, 1859. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101010"															
WoRMS:citation:101011	Citation	"WoRMS (2014). <i>Cerianthus membranaceus</i> (Spallanzani, 1784). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101011"															
WoRMS:citation:101012	Citation	"WoRMS (2014). <i>Cerianthus vogti</i> Danielssen, 1890. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101012"															
WoRMS:citation:101013	Citation	"WoRMS (2014). <i>Pachycerianthus multiplicatus</i> Carlgren, 1912. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101013"															
WoRMS:citation:101014	Citation	"Fautin, D. (2014). <i>Corallimorphus atlanticus</i> Carlgren, 1934. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101014"															
WoRMS:citation:101015	Citation	"Fautin, D. (2014). <i>Corallimorphus ingens</i> Gravier, 1918. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101015"															
WoRMS:citation:101016	Citation	"Fautin, D. (2014). Corynactis viridis. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101016"															
WoRMS:citation:101017	Citation	"Fautin, D. (2014). <i>Pseudocorynactis caribbeorum</i> Den Hartog, 1980. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101017"															
WoRMS:citation:101018	Citation	"Fautin, D. (2014). <i>Nectactis singularis</i> Gravier, 1918. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101018"															
WoRMS:citation:101019	Citation	"Fautin, D. (2014). <i>Sideractis glacialis</i> Danielssen, 1890. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101019"															
WoRMS:citation:101020	Citation	"WoRMS (2014). <i>Ptychodactis patula</i> AppellÌ¦f, 1893. In: Fautin, Daphne G. 2011. Hexacorallians of the World. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101020"															
WoRMS:citation:101021	Citation	"WoRMS (2014). <i>Epizoanthus abyssorum</i> Verrill, 1885. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101021"															
WoRMS:citation:101022	Citation	WoRMS (2014). <i>Epizoanthus americanus</i>. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101022															
WoRMS:citation:101023	Citation	"Reimer, J. (2014). <i>Epizoanthus arenaceus</i> (Delle Chiaje, 1823). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101023"															
WoRMS:citation:101024	Citation	"WoRMS (2014). <i>Epizoanthus beerenislandicus</i> Carlgren, 1913. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101024"															
WoRMS:citation:101025	Citation	"Reimer, J. (2014). <i>Epizoanthus couchii</i> (Johnston in Couch, 1844). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101025"															
WoRMS:citation:101026	Citation	"WoRMS (2014). <i>Epizoanthus danielsseni</i> Carlgren, 1913. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101026"															
WoRMS:citation:101027	Citation	"Reimer, J. (2014). <i>Epizoanthus erdmanni</i> (Danielssen, 1890). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101027"															
WoRMS:citation:101028	Citation	WoRMS (2014). Epizoanthus frenzeli. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101028															
WoRMS:citation:101029	Citation	"WoRMS (2014). <i>Epizoanthus glacialis</i> Danielssen, 1890. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101029"															
WoRMS:citation:101030	Citation	"WoRMS (2014). <i>Epizoanthus koreni</i> Carlgren, 1913. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101030"															
WoRMS:citation:101031	Citation	"WoRMS (2014). <i>Epizoanthus lindahli</i> Carlgren, 1913. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101031"															
WoRMS:citation:101032	Citation	"WoRMS (2014). <i>Epizoanthus macintoshi</i> Haddon & Shackleton, 1891. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101032"															
WoRMS:citation:101033	Citation	"WoRMS (2014). <i>Epizoanthus mediterraneus</i> Carlgren, 1935. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101033"															
WoRMS:citation:101034	Citation	"Reimer, J. (2014). <i>Epizoanthus norvegicus</i> (Koren & Danielssen, 1877). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101034"															
WoRMS:citation:101035	Citation	"Reimer, J. (2014). Epizoanthus paguricola. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101035"															
WoRMS:citation:101036	Citation	"WoRMS (2014). <i>Epizoanthus paguriphilus</i> Verrill, 1883. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101036"															
WoRMS:citation:101037	Citation	"Reimer, J. (2014). <i>Epizoanthus papillosus</i> Johnston, 1842. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101037"															
WoRMS:citation:101038	Citation	"WoRMS (2014). <i>Epizoanthus paxii</i> Abel, 1955. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101038"															
WoRMS:citation:101039	Citation	"WoRMS (2014). <i>Epizoanthus roseus</i> Danielssen, 1890. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101039"															
WoRMS:citation:101040	Citation	"WoRMS (2014). <i>Epizoanthus steueri</i> Pax, 1937. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101040"															
WoRMS:citation:101041	Citation	"WoRMS (2014). <i>Epizoanthus tergestinus</i> Pax, 1937. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101041"															
WoRMS:citation:101042	Citation	"Reimer, J. (2014). <i>Epizoanthus univittatus</i> (Lorenz, 1860). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101042"															
WoRMS:citation:101043	Citation	"WoRMS (2014). <i>Epizoanthus vagus</i> Herberts, 1972. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101043"															
WoRMS:citation:101044	Citation	"WoRMS (2014). <i>Epizoanthus vatovai</i> Pax & Lochter, 1935. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101044"															
WoRMS:citation:101045	Citation	"Hoeksema, B. (2014). <i>Gerardia savaglia</i> (Bertoloni, 1819). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101045"															
WoRMS:citation:101046	Citation	"Reimer, J.; Sinniger, F. (2014). <i>Isozoanthus arborescens</i> Danielssen, 1890. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101046"															
WoRMS:citation:101047	Citation	"WoRMS (2014). <i>Isozoanthus bulbosus</i> Carlgren, 1913. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101047"															
WoRMS:citation:101048	Citation	"WoRMS (2014). <i>Isozoanthus dubius</i> Carlgren, 1913. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101048"															
WoRMS:citation:101049	Citation	"WoRMS (2014). <i>Isozoanthus ingolfi</i> Carlgren, 1913. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101049"															
WoRMS:citation:101050	Citation	"WoRMS (2014). <i>Isozoanthus islandicus</i> Carlgren, 1913. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101050"															
WoRMS:citation:101051	Citation	"WoRMS (2014). <i>Isozoanthus magninsulosus</i> Carlgren, 1913. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101051"															
WoRMS:citation:101052	Citation	"WoRMS (2014). <i>Isozoanthus multinsulosus</i> Carlgren, 1913. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101052"															
WoRMS:citation:101053	Citation	"Sinniger, F.; Reimer, J. (2014). <i>Isozoanthus sulcatus</i> Gosse, 1859. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101053"															
WoRMS:citation:101054	Citation	WoRMS (2014). Parazoanthus anguicomus. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101054															
WoRMS:citation:101055	Citation	"WoRMS (2014). <i>Parazoanthus axinellae</i> (Schmidt, 1862). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101055"															
WoRMS:citation:101056	Citation	"Reimer, J. (2014). <i>Isaurus duchassaingi</i> Andres, 1884. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101056"															
WoRMS:citation:101057	Citation	"Reimer, J. (2014). <i>Isaurus spongiosa</i> Andres, 1877. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101057"															
WoRMS:citation:101058	Citation	"WoRMS (2014). <i>Isaurus tuberculatus</i> Gray, 1828. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101058"															
WoRMS:citation:101059	Citation	"WoRMS (2014). <i>Protopalythoa canariensis</i> (Haddon & Duerden, 1896). Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101059"															
WoRMS:citation:101060	Citation	"Neuhaus, B. (2014). Kinorhyncha. In: Neuhaus, Birger World list of Kinorhyncha. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101060"															
WoRMS:citation:101061	Citation	WoRMS (2014). Loricifera. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101061															
WoRMS:citation:101062	Citation	WoRMS (2014). Nematomorpha. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101062															
WoRMS:citation:101063	Citation	WoRMS (2014). Priapulida. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101063															
WoRMS:citation:101064	Citation	"Neuhaus, B. (2014). Cyclorhagida. In: Neuhaus, Birger World list of Kinorhyncha. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101064"															
WoRMS:citation:101065	Citation	"Neuhaus, B. (2014). Homalorhagida. In: Neuhaus, Birger World list of Kinorhyncha. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101065"															
WoRMS:citation:101066	Citation	WoRMS (2014). Nanaloricida. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101066															
WoRMS:citation:101067	Citation	WoRMS (2014). Nectonematida. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101067															
WoRMS:citation:101068	Citation	"Neuhaus, B. (2014). Antygomonidae Adrianov & Malakhov, 1994. In: Neuhaus, Birger World list of Kinorhyncha. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101068"															
WoRMS:citation:101069	Citation	"Neuhaus, B. (2014). Centroderidae Zelinka, 1896. In: Neuhaus, Birger World list of Kinorhyncha. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101069"															
WoRMS:citation:101070	Citation	"Neuhaus, B. (2014). Echinoderidae Zelinka, 1894. In: Neuhaus, Birger World list of Kinorhyncha. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101070"															
WoRMS:citation:101071	Citation	"Neuhaus, B. (2014). Semnoderidae Remane, 1929. In: Neuhaus, Birger World list of Kinorhyncha. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101071"															
WoRMS:citation:101072	Citation	"Neuhaus, B. (2014). Zelinkaderidae Higgins, 1990. In: Neuhaus, Birger World list of Kinorhyncha. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101072"															
WoRMS:citation:101073	Citation	"Neuhaus, B. (2014). Neocentrophyidae Higgins, 1969. In: Neuhaus, Birger World list of Kinorhyncha. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101073"															
WoRMS:citation:101074	Citation	"Neuhaus, B. (2014). Pycnophyidae Zelinka, 1896. In: Neuhaus, Birger World list of Kinorhyncha. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101074"															
WoRMS:citation:101075	Citation	WoRMS (2014). Nanaloricidae. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101075															
WoRMS:citation:101076	Citation	WoRMS (2014). Nectonematidae. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101076															
WoRMS:citation:101077	Citation	WoRMS (2014). Chaetostephanidae. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101077															
WoRMS:citation:101078	Citation	"van der Land, J. (2014). Priapulidae. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101078"															
WoRMS:citation:101079	Citation	"van der Land, J. (2014). Tubiluchidae. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101079"															
WoRMS:citation:101080	Citation	"Neuhaus, B. (2014). <i>Antygomonas</i> Nebelsick, 1990. In: Neuhaus, Birger World list of Kinorhyncha. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101080"															
WoRMS:citation:101081	Citation	"Neuhaus, B. (2014). <i>Campyloderes</i> Zelinka, 1907. In: Neuhaus, Birger World list of Kinorhyncha. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101081"															
WoRMS:citation:101082	Citation	"Neuhaus, B. (2014). <i>Centroderes</i> Zelinka, 1907. In: Neuhaus, Birger World list of Kinorhyncha. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101082"															
WoRMS:citation:101083	Citation	"Neuhaus, B. (2014). <i>Condyloderes</i> Higgins, 1969. In: Neuhaus, Birger World list of Kinorhyncha. Accessed through:  World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=101083"															
